X,Y,Z,I_FS,I_GS
36.91983122362869,281.6455696202532,51.0,1.1080637,4.9523044
55.55555555555556,256.32911392405066,33.0,1.0508827,4.412278
65.40084388185655,110.75949367088607,48.0,1.019412,4.3495374
42.54571026722925,285.51336146272854,15.0,1.2728492,2.9499416
176.16033755274262,151.54711673699015,36.0,1.1029185,2.8856213
32.70042194092827,276.37130801687766,12.0,1.1636143,2.614776
36.91983122362869,289.38115330520395,45.0,1.3006862,2.28764
66.10407876230661,288.67791842475384,6.0,1.0966884,2.5152712
34.81012658227848,289.0295358649789,12.0,1.3232919,1.4155715
34.10689170182841,275.3164556962025,12.0,1.2047216,2.4812832
36.56821378340366,279.18424753867794,81.0,1.4072468,1.8610121
35.86497890295359,274.61322081575247,21.0,1.0818771,1.5149233
85.79465541490858,163.50210970464136,24.0,1.0519388,2.395895
197.25738396624473,303.7974683544304,9.0,1.0516238,1.5467598
36.91983122362869,290.78762306610406,72.0,1.0627979,2.0562077
36.56821378340366,287.9746835443038,21.0,1.2644663,2.2252798
34.81012658227848,291.8424753867792,12.0,1.3254502,1.7682042
43.60056258790436,291.4908579465542,30.0,0.8988823,2.1894097
42.54571026722925,120.9563994374121,48.0,1.0749155,2.184048
86.49789029535864,40.787623066104075,78.0,1.1215538,1.4334174
49.929676511954995,254.9226441631505,6.0,0.914229,1.755851
53.445850914205344,256.32911392405066,15.0,1.0630995,1.8607584
174.40225035161745,343.8818565400844,12.0,1.0991609,0.34548223
307.31364275668074,101.61744022503517,81.0,1.099556,1.5475618
38.326300984528835,274.26160337552744,27.0,1.028109,1.7575974
41.139240506329116,280.9423347398031,78.0,1.2302927,0.8700923
60.829817158931085,255.27426160337552,12.0,1.0668699,1.939326
65.40084388185655,112.51758087201125,33.0,0.99280727,1.719264
100.21097046413502,292.1940928270042,6.0,0.9805713,1.6235328
34.10689170182841,66.10407876230661,9.0,1.0990958,1.8773693
30.239099859353026,273.9099859353024,12.0,0.95093554,1.6551982
30.59071729957806,271.8002812939522,30.0,0.9548617,1.8155222
96.69479606188467,285.51336146272854,6.0,0.9413489,1.2279094
129.74683544303798,317.51054852320675,9.0,1.0553473,0.60118055
112.51758087201125,144.51476793248946,48.0,1.0389484,1.7904668
33.40365682137834,159.28270042194092,54.0,1.0368149,1.6416157
45.358649789029535,263.3614627285513,33.0,1.0336976,1.7727644
89.66244725738396,169.47960618846696,36.0,1.0335218,1.7678628
86.14627285513362,164.9085794655415,9.0,1.155096,1.5297714
209.915611814346,151.54711673699015,18.0,1.0259951,1.237073
